<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,06/12/18,00:00:00,767.9000000,778.4000000,753.5000000,765.0000000,1813660
TATN,D,07/12/18,00:00:00,766.9000000,782.4000000,750.9000000,776.0000000,1610990
TATN,D,10/12/18,00:00:00,769.3000000,771.7000000,759.9000000,759.9000000,917360
TATN,D,11/12/18,00:00:00,760.0000000,772.8000000,747.8000000,760.0000000,1377680
TATN,D,12/12/18,00:00:00,765.0000000,766.0000000,738.7000000,738.7000000,1205690
TATN,D,13/12/18,00:00:00,739.9000000,746.1000000,730.0000000,736.0000000,1351850
TATN,D,14/12/18,00:00:00,736.0000000,737.0000000,722.2000000,726.4000000,729760
TATN,D,17/12/18,00:00:00,726.7000000,738.1000000,721.5000000,727.0000000,632730
TATN,D,18/12/18,00:00:00,719.7000000,728.3000000,715.1000000,719.6000000,1431950
TATN,D,19/12/18,00:00:00,716.0000000,720.0000000,700.7000000,714.3000000,1680290
TATN,D,20/12/18,00:00:00,706.2000000,714.7000000,701.0000000,714.7000000,1419640
TATN,D,21/12/18,00:00:00,710.0000000,713.9000000,693.4000000,710.0000000,2764040
TATN,D,24/12/18,00:00:00,707.0000000,710.3000000,697.7000000,703.0000000,379540
TATN,D,25/12/18,00:00:00,695.0000000,703.0000000,680.5000000,696.8000000,379120
TATN,D,26/12/18,00:00:00,700.1000000,719.9000000,694.9000000,712.0000000,297030
TATN,D,27/12/18,00:00:00,725.9000000,727.0000000,711.1000000,717.0000000,894200
TATN,D,28/12/18,00:00:00,720.0000000,746.7000000,716.8000000,737.8000000,1242470
TATN,D,29/12/18,00:00:00,734.9000000,741.8000000,649.4000000,737.9000000,17339
TATN,D,03/01/19,00:00:00,737.9000000,737.9000000,715.7000000,731.8000000,1189570
TATN,D,04/01/19,00:00:00,734.2000000,737.7000000,726.2000000,737.7000000,1026610
TATN,D,08/01/19,00:00:00,715.8000000,724.0000000,708.1000000,723.2000000,1682220
TATN,D,09/01/19,00:00:00,722.2000000,723.8000000,710.1000000,717.9000000,1250860
TATN,D,10/01/19,00:00:00,718.2000000,733.0000000,712.1000000,732.6000000,1566140
TATN,D,11/01/19,00:00:00,732.0000000,732.0000000,721.3000000,730.3000000,1411380
TATN,D,14/01/19,00:00:00,728.2000000,728.6000000,719.3000000,725.0000000,1088030
TATN,D,15/01/19,00:00:00,726.0000000,731.9000000,719.1000000,721.0000000,1526180
TATN,D,16/01/19,00:00:00,720.0000000,728.5000000,718.6000000,722.0000000,1637560
TATN,D,17/01/19,00:00:00,724.4000000,735.1000000,716.5000000,734.1000000,1991860
TATN,D,18/01/19,00:00:00,733.8000000,742.9000000,729.1000000,741.0000000,1283910
TATN,D,21/01/19,00:00:00,738.0000000,742.4000000,732.6000000,735.4000000,691020
TATN,D,22/01/19,00:00:00,732.7000000,751.9000000,728.7000000,750.5000000,1713780
TATN,D,23/01/19,00:00:00,748.1000000,784.3000000,746.3000000,784.0000000,2071460
TATN,D,24/01/19,00:00:00,782.9000000,783.0000000,765.3000000,772.9000000,1467320
TATN,D,25/01/19,00:00:00,775.9000000,798.9000000,770.0000000,798.9000000,1329960
TATN,D,28/01/19,00:00:00,796.4000000,805.0000000,785.9000000,791.4000000,1623570
TATN,D,29/01/19,00:00:00,791.0000000,799.8000000,781.0000000,798.8000000,1322280
TATN,D,30/01/19,00:00:00,797.1000000,806.9000000,792.2000000,806.9000000,1255970
TATN,D,31/01/19,00:00:00,811.0000000,814.9000000,801.9000000,806.9000000,2037460
TATN,D,01/02/19,00:00:00,805.2000000,815.0000000,801.4000000,808.1000000,1336790
TATN,D,04/02/19,00:00:00,807.1000000,808.8000000,802.1000000,803.2000000,895990
TATN,D,05/02/19,00:00:00,805.2000000,814.0000000,803.1000000,810.0000000,647890
TATN,D,06/02/19,00:00:00,807.9000000,811.0000000,798.5000000,804.0000000,945360
TATN,D,07/02/19,00:00:00,802.0000000,809.4000000,795.0000000,804.7000000,1004840
TATN,D,08/02/19,00:00:00,800.9000000,802.3000000,786.0000000,787.3000000,963560
TATN,D,11/02/19,00:00:00,788.1000000,795.0000000,778.6000000,780.0000000,898600
TATN,D,12/02/19,00:00:00,782.5000000,785.6000000,774.2000000,784.5000000,1113530
TATN,D,13/02/19,00:00:00,784.2000000,785.1000000,761.6000000,761.6000000,1212040
TATN,D,14/02/19,00:00:00,756.8000000,779.0000000,755.7000000,763.9000000,1408620
TATN,D,15/02/19,00:00:00,768.3000000,790.3000000,762.8000000,790.3000000,1192080
TATN,D,18/02/19,00:00:00,786.2000000,788.3000000,771.2000000,778.5000000,889470
TATN,D,19/02/19,00:00:00,778.0000000,781.9000000,770.0000000,772.8000000,621810
TATN,D,20/02/19,00:00:00,775.9000000,794.3000000,772.7000000,793.6000000,1394350
TATN,D,21/02/19,00:00:00,793.6000000,799.6000000,791.3000000,796.0000000,1275530
TATN,D,22/02/19,00:00:00,794.3000000,800.5000000,793.2000000,799.9000000,857710
TATN,D,25/02/19,00:00:00,799.9000000,800.0000000,783.0000000,787.1000000,948340
TATN,D,26/02/19,00:00:00,783.0000000,789.9000000,779.1000000,789.9000000,1096650
TATN,D,27/02/19,00:00:00,793.8000000,797.7000000,785.2000000,794.9000000,1581990
TATN,D,28/02/19,00:00:00,791.6000000,796.5000000,775.5000000,776.1000000,2348910
TATN,D,01/03/19,00:00:00,779.6000000,783.1000000,774.1000000,775.2000000,1177790
TATN,D,04/03/19,00:00:00,778.1000000,779.6000000,770.1000000,770.1000000,448960
TATN,D,05/03/19,00:00:00,768.0000000,770.0000000,760.0000000,760.0000000,620600
TATN,D,06/03/19,00:00:00,761.8000000,770.0000000,761.8000000,766.0000000,678410
TATN,D,07/03/19,00:00:00,766.2000000,767.1000000,753.9000000,755.2000000,917880
TATN,D,11/03/19,00:00:00,755.7000000,756.0000000,742.6000000,747.0000000,852160
TATN,D,12/03/19,00:00:00,749.0000000,751.3000000,727.9000000,732.5000000,1116870
TATN,D,13/03/19,00:00:00,734.3000000,734.3000000,716.6000000,729.0000000,1148560
TATN,D,14/03/19,00:00:00,730.0000000,737.8000000,724.1000000,731.8000000,1046370
TATN,D,15/03/19,00:00:00,731.7000000,744.4000000,729.4000000,743.8000000,2610930
TATN,D,18/03/19,00:00:00,742.8000000,757.8000000,737.0000000,753.1000000,1006930
TATN,D,19/03/19,00:00:00,755.0000000,768.1000000,751.5000000,767.0000000,1282350
TATN,D,20/03/19,00:00:00,767.1000000,780.0000000,760.8000000,772.6000000,1263400
TATN,D,21/03/19,00:00:00,773.6000000,783.0000000,757.6000000,768.0000000,2566330
TATN,D,22/03/19,00:00:00,765.9000000,772.8000000,753.0000000,757.2000000,1236470
TATN,D,25/03/19,00:00:00,752.0000000,758.5000000,745.8000000,747.2000000,701740
TATN,D,26/03/19,00:00:00,750.3000000,760.4000000,746.8000000,755.5000000,771580
TATN,D,27/03/19,00:00:00,757.8000000,765.0000000,744.2000000,746.9000000,785770
TATN,D,28/03/19,00:00:00,745.0000000,759.4000000,744.8000000,755.6000000,724890
TATN,D,29/03/19,00:00:00,757.6000000,764.8000000,748.9000000,755.0000000,1819040
TATN,D,01/04/19,00:00:00,755.6000000,763.3000000,750.7000000,750.7000000,760470
TATN,D,02/04/19,00:00:00,750.9000000,755.0000000,738.0000000,742.9000000,1044100
TATN,D,03/04/19,00:00:00,746.0000000,754.2000000,743.1000000,743.1000000,1159650
TATN,D,04/04/19,00:00:00,745.0000000,745.9000000,730.4000000,733.1000000,922510
TATN,D,05/04/19,00:00:00,734.5000000,738.0000000,726.4000000,731.2000000,627550
TATN,D,08/04/19,00:00:00,732.0000000,755.8000000,731.3000000,754.2000000,1282400
TATN,D,09/04/19,00:00:00,755.7000000,763.2000000,750.2000000,760.9000000,1156230
TATN,D,10/04/19,00:00:00,760.9000000,767.0000000,755.0000000,758.8000000,1947860
TATN,D,11/04/19,00:00:00,762.4000000,762.7000000,746.4000000,751.0000000,1053260
TATN,D,12/04/19,00:00:00,751.0000000,753.8000000,743.0000000,750.5000000,810650
TATN,D,15/04/19,00:00:00,750.6000000,751.6000000,738.8000000,741.9000000,633540
TATN,D,16/04/19,00:00:00,742.5000000,752.0000000,738.9000000,746.9000000,919610
TATN,D,17/04/19,00:00:00,750.9000000,754.9000000,745.1000000,751.6000000,1023430
TATN,D,18/04/19,00:00:00,749.2000000,750.0000000,741.0000000,749.2000000,638750
TATN,D,19/04/19,00:00:00,748.5000000,750.0000000,748.0000000,748.9000000,97720
TATN,D,22/04/19,00:00:00,750.1000000,756.5000000,750.1000000,752.0000000,150790
TATN,D,23/04/19,00:00:00,754.2000000,756.6000000,743.0000000,750.2000000,565110
TATN,D,24/04/19,00:00:00,748.1000000,753.5000000,740.3000000,743.5000000,1327780
TATN,D,25/04/19,00:00:00,742.4000000,744.6000000,734.1000000,738.2000000,1113420
TATN,D,26/04/19,00:00:00,738.9000000,777.3000000,733.2000000,767.3000000,3067830
TATN,D,29/04/19,00:00:00,765.5000000,767.3000000,749.5000000,754.9000000,1075880
TATN,D,30/04/19,00:00:00,753.8000000,764.4000000,751.1000000,757.5000000,1456370
TATN,D,02/05/19,00:00:00,757.5000000,769.7000000,753.3000000,754.1000000,907190
TATN,D,03/05/19,00:00:00,755.6000000,769.0000000,755.6000000,765.5000000,932500
TATN,D,06/05/19,00:00:00,761.0000000,769.0000000,755.2000000,765.3000000,485190
TATN,D,07/05/19,00:00:00,765.6000000,768.8000000,742.0000000,750.5000000,1750150
TATN,D,08/05/19,00:00:00,747.1000000,748.5000000,723.2000000,723.2000000,2018580
TATN,D,10/05/19,00:00:00,724.8000000,727.7000000,704.1000000,705.1000000,2050760
TATN,D,13/05/19,00:00:00,707.8000000,716.2000000,689.6000000,690.9000000,2105390
TATN,D,14/05/19,00:00:00,693.5000000,739.4000000,693.5000000,706.4000000,4416680
TATN,D,15/05/19,00:00:00,706.9000000,714.0000000,691.4000000,693.3000000,2029540
TATN,D,16/05/19,00:00:00,693.3000000,708.1000000,675.3000000,675.9000000,2594900
TATN,D,17/05/19,00:00:00,669.0000000,697.1000000,666.0000000,679.4000000,3396660
TATN,D,20/05/19,00:00:00,684.7000000,686.7000000,673.5000000,681.1000000,2055930
TATN,D,21/05/19,00:00:00,684.0000000,707.9000000,680.3000000,706.7000000,2015160
TATN,D,22/05/19,00:00:00,705.6000000,721.8000000,699.1000000,720.0000000,2291440
TATN,D,23/05/19,00:00:00,723.3000000,723.3000000,704.4000000,708.0000000,1454920
TATN,D,24/05/19,00:00:00,711.1000000,718.4000000,696.8000000,696.8000000,1559140
TATN,D,27/05/19,00:00:00,698.4000000,704.2000000,695.0000000,695.3000000,586730
TATN,D,28/05/19,00:00:00,696.2000000,714.4000000,685.0000000,702.8000000,6983900
TATN,D,29/05/19,00:00:00,700.1000000,725.9000000,697.5000000,725.9000000,2590220
TATN,D,30/05/19,00:00:00,725.8000000,759.5000000,725.1000000,754.1000000,2896310
TATN,D,31/05/19,00:00:00,744.0000000,759.0000000,735.0000000,748.5000000,2393440
TATN,D,03/06/19,00:00:00,746.8000000,760.8000000,740.5000000,759.9000000,1898120
TATN,D,04/06/19,00:00:00,759.9000000,771.5000000,752.1000000,766.9000000,2214710
TATN,D,05/06/19,00:00:00,769.7000000,769.7000000,744.6000000,755.7000000,1184300
TATN,D,06/06/19,00:00:00,755.7000000,763.3000000,752.0000000,758.6000000,1424140
TATN,D,07/06/19,00:00:00,768.8000000,775.0000000,753.6000000,753.6000000,1409860
TATN,D,10/06/19,00:00:00,757.0000000,761.8000000,752.4000000,759.4000000,972660
TATN,D,11/06/19,00:00:00,761.0000000,778.1000000,757.0000000,777.4000000,2893080
TATN,D,13/06/19,00:00:00,774.6000000,779.8000000,763.2000000,770.0000000,2007730
TATN,D,14/06/19,00:00:00,767.4000000,773.7000000,761.0000000,765.0000000,1327450
TATN,D,17/06/19,00:00:00,766.1000000,769.1000000,758.8000000,759.7000000,1108120
TATN,D,18/06/19,00:00:00,759.9000000,779.7000000,757.3000000,775.0000000,1474800
TATN,D,19/06/19,00:00:00,776.9000000,781.3000000,768.3000000,771.9000000,1109610
TATN,D,20/06/19,00:00:00,774.0000000,789.9000000,773.0000000,789.4000000,2759590
TATN,D,21/06/19,00:00:00,791.0000000,791.0000000,769.2000000,776.8000000,3198410
TATN,D,24/06/19,00:00:00,777.4000000,778.7000000,767.2000000,769.8000000,1359840
TATN,D,25/06/19,00:00:00,769.0000000,772.9000000,753.4000000,763.5000000,1430080
TATN,D,26/06/19,00:00:00,765.4000000,773.9000000,757.7000000,770.0000000,1931430
TATN,D,27/06/19,00:00:00,771.6000000,777.9000000,767.3000000,773.3000000,1422470
TATN,D,28/06/19,00:00:00,776.8000000,781.2000000,770.6000000,774.9000000,1328820
TATN,D,01/07/19,00:00:00,780.0000000,784.3000000,768.0000000,768.0000000,1575190
TATN,D,02/07/19,00:00:00,768.9000000,772.6000000,765.3000000,769.4000000,2443610
TATN,D,03/07/19,00:00:00,771.9000000,784.0000000,766.0000000,780.0000000,3172260
TATN,D,04/07/19,00:00:00,752.7000000,760.5000000,750.2000000,760.5000000,1849780
TATN,D,05/07/19,00:00:00,761.4000000,766.1000000,757.2000000,762.7000000,1378220
TATN,D,08/07/19,00:00:00,761.8000000,762.7000000,755.1000000,760.9000000,954100
TATN,D,09/07/19,00:00:00,758.5000000,765.0000000,748.7000000,753.6000000,1128520
TATN,D,10/07/19,00:00:00,754.0000000,755.2000000,745.2000000,748.0000000,874500
TATN,D,11/07/19,00:00:00,750.0000000,750.2000000,733.3000000,741.3000000,1125760
TATN,D,12/07/19,00:00:00,740.1000000,741.2000000,725.2000000,726.9000000,996740
TATN,D,15/07/19,00:00:00,728.1000000,731.9000000,717.5000000,717.5000000,790160
TATN,D,16/07/19,00:00:00,717.0000000,731.6000000,716.1000000,730.0000000,1800250
TATN,D,17/07/19,00:00:00,728.0000000,749.3000000,727.9000000,741.0000000,2851140
TATN,D,18/07/19,00:00:00,739.8000000,742.6000000,730.5000000,738.0000000,1720400
TATN,D,19/07/19,00:00:00,736.6000000,752.0000000,736.4000000,744.0000000,1680220
TATN,D,22/07/19,00:00:00,744.4000000,747.9000000,733.6000000,733.6000000,1005160
TATN,D,23/07/19,00:00:00,735.2000000,747.9000000,733.8000000,747.9000000,1799450
TATN,D,24/07/19,00:00:00,749.1000000,751.1000000,737.2000000,741.3000000,1628640
TATN,D,25/07/19,00:00:00,743.0000000,746.6000000,734.0000000,740.5000000,2183870
TATN,D,26/07/19,00:00:00,738.9000000,741.4000000,732.9000000,734.6000000,1532110
TATN,D,29/07/19,00:00:00,735.5000000,743.4000000,735.0000000,738.1000000,1235420
TATN,D,30/07/19,00:00:00,737.7000000,742.0000000,728.0000000,737.5000000,1389980
TATN,D,31/07/19,00:00:00,736.8000000,743.2000000,730.3000000,743.2000000,2553980
TATN,D,01/08/19,00:00:00,738.6000000,758.8000000,738.2000000,755.0000000,2536230
TATN,D,02/08/19,00:00:00,750.0000000,755.8000000,731.2000000,732.2000000,2248200
TATN,D,05/08/19,00:00:00,730.9000000,732.5000000,716.4000000,716.4000000,1697180
TATN,D,06/08/19,00:00:00,723.5000000,746.7000000,720.6000000,740.0000000,3475260
TATN,D,07/08/19,00:00:00,738.0000000,741.7000000,727.7000000,727.8000000,1515460
TATN,D,08/08/19,00:00:00,734.4000000,740.9000000,733.4000000,738.7000000,1290880
TATN,D,09/08/19,00:00:00,737.4000000,741.0000000,735.9000000,737.3000000,1009960
TATN,D,12/08/19,00:00:00,740.1000000,744.3000000,734.7000000,738.6000000,693090
TATN,D,13/08/19,00:00:00,736.0000000,739.7000000,721.1000000,729.0000000,2224870
TATN,D,14/08/19,00:00:00,729.3000000,732.3000000,706.0000000,709.4000000,1511140
TATN,D,15/08/19,00:00:00,711.8000000,717.8000000,702.5000000,702.5000000,1732300
TATN,D,16/08/19,00:00:00,705.7000000,713.8000000,702.2000000,705.0000000,1638020
TATN,D,19/08/19,00:00:00,709.6000000,717.5000000,706.1000000,712.8000000,1191590
TATN,D,20/08/19,00:00:00,716.2000000,724.0000000,714.5000000,721.1000000,1009560
TATN,D,21/08/19,00:00:00,722.9000000,726.0000000,717.1000000,718.6000000,1403650
TATN,D,22/08/19,00:00:00,718.2000000,722.3000000,715.6000000,717.6000000,1518320
TATN,D,23/08/19,00:00:00,718.0000000,721.5000000,715.1000000,718.1000000,1459770
TATN,D,26/08/19,00:00:00,715.0000000,725.3000000,711.0000000,716.9000000,1140750
TATN,D,27/08/19,00:00:00,719.1000000,720.0000000,704.1000000,720.0000000,6686310
TATN,D,28/08/19,00:00:00,721.0000000,724.2000000,716.0000000,717.9000000,2560450
TATN,D,29/08/19,00:00:00,717.9000000,724.6000000,716.9000000,723.6000000,1284920
TATN,D,30/08/19,00:00:00,723.9000000,743.1000000,723.1000000,743.1000000,2718610
TATN,D,02/09/19,00:00:00,744.0000000,751.8000000,742.1000000,747.7000000,1067481
TATN,D,03/09/19,00:00:00,746.3000000,749.8000000,737.1000000,746.0000000,1143450
TATN,D,04/09/19,00:00:00,749.8000000,754.0000000,740.0000000,740.0000000,2232754
TATN,D,05/09/19,00:00:00,743.6000000,749.1000000,739.8000000,743.7000000,1621717
TATN,D,06/09/19,00:00:00,743.7000000,753.0000000,736.5000000,753.0000000,1680728
TATN,D,09/09/19,00:00:00,754.1000000,757.8000000,748.7000000,752.8000000,1002156
TATN,D,10/09/19,00:00:00,752.8000000,752.8000000,743.0000000,746.7000000,2096817
TATN,D,11/09/19,00:00:00,747.0000000,752.5000000,745.4000000,749.0000000,1467463
TATN,D,12/09/19,00:00:00,747.9000000,748.0000000,736.0000000,738.6000000,2009749
TATN,D,13/09/19,00:00:00,736.0000000,739.9000000,727.5000000,733.3000000,1252246
TATN,D,16/09/19,00:00:00,743.1000000,761.5000000,738.4000000,759.9000000,5221015
TATN,D,17/09/19,00:00:00,752.9000000,768.2000000,747.4000000,756.1000000,4081305
TATN,D,18/09/19,00:00:00,756.0000000,758.9000000,751.0000000,753.0000000,1882184
TATN,D,19/09/19,00:00:00,752.1000000,754.9000000,741.9000000,741.9000000,2417939
TATN,D,20/09/19,00:00:00,741.7000000,748.7000000,739.0000000,748.7000000,3008703
TATN,D,23/09/19,00:00:00,746.1000000,749.5000000,737.3000000,743.4000000,2166056
TATN,D,24/09/19,00:00:00,742.7000000,744.9000000,730.0000000,734.3000000,2250514
TATN,D,25/09/19,00:00:00,729.1000000,740.0000000,726.1000000,740.0000000,3315619
TATN,D,26/09/19,00:00:00,704.3000000,709.7000000,699.2000000,704.9000000,1962172
TATN,D,27/09/19,00:00:00,705.0000000,708.3000000,697.5000000,697.5000000,1577661
TATN,D,30/09/19,00:00:00,698.8000000,701.7000000,687.4000000,687.4000000,2041676
TATN,D,01/10/19,00:00:00,689.0000000,700.9000000,688.0000000,694.9000000,1385822
TATN,D,02/10/19,00:00:00,695.0000000,695.7000000,686.0000000,688.8000000,1232244
TATN,D,03/10/19,00:00:00,688.1000000,688.2000000,671.2000000,676.3000000,1799128
TATN,D,04/10/19,00:00:00,682.3000000,694.5000000,678.4000000,681.5000000,1883788
TATN,D,07/10/19,00:00:00,684.5000000,694.2000000,680.1000000,691.5000000,985257
TATN,D,08/10/19,00:00:00,691.9000000,694.5000000,685.5000000,688.5000000,916247
TATN,D,09/10/19,00:00:00,688.7000000,697.2000000,687.1000000,690.5000000,1052000
TATN,D,10/10/19,00:00:00,691.5000000,701.6000000,687.6000000,698.4000000,923205
TATN,D,11/10/19,00:00:00,701.0000000,709.9000000,700.3000000,709.7000000,1176461
TATN,D,14/10/19,00:00:00,708.8000000,711.8000000,695.3000000,700.0000000,921234
TATN,D,15/10/19,00:00:00,700.0000000,703.0000000,694.2000000,700.8000000,1280263
TATN,D,16/10/19,00:00:00,700.6000000,710.9000000,699.6000000,708.9000000,1702015
TATN,D,17/10/19,00:00:00,708.0000000,708.0000000,702.2000000,707.3000000,1154731
TATN,D,18/10/19,00:00:00,705.3000000,710.0000000,704.1000000,706.8000000,1102926
TATN,D,21/10/19,00:00:00,707.9000000,721.9000000,704.8000000,721.9000000,1530095
TATN,D,22/10/19,00:00:00,720.0000000,738.0000000,718.0000000,738.0000000,2371996
TATN,D,23/10/19,00:00:00,737.0000000,749.9000000,731.8000000,749.9000000,2301655
TATN,D,24/10/19,00:00:00,748.7000000,759.9000000,745.7000000,759.9000000,2808980
TATN,D,25/10/19,00:00:00,757.1000000,760.0000000,740.1000000,749.6000000,2008166
TATN,D,28/10/19,00:00:00,752.2000000,755.9000000,740.7000000,749.9000000,1261327
TATN,D,29/10/19,00:00:00,749.0000000,752.0000000,744.6000000,752.0000000,1760583
TATN,D,30/10/19,00:00:00,748.9000000,759.8000000,743.2000000,759.8000000,1910918
TATN,D,31/10/19,00:00:00,759.5000000,764.0000000,746.3000000,748.2000000,2338612
TATN,D,01/11/19,00:00:00,747.2000000,755.4000000,741.1000000,755.4000000,1179205
TATN,D,05/11/19,00:00:00,758.0000000,773.0000000,756.0000000,773.0000000,1967932
TATN,D,06/11/19,00:00:00,771.6000000,787.0000000,765.6000000,787.0000000,1874119
TATN,D,07/11/19,00:00:00,782.4000000,799.7000000,777.0000000,797.9000000,2077132
TATN,D,08/11/19,00:00:00,797.2000000,799.4000000,778.3000000,782.2000000,1962655
TATN,D,11/11/19,00:00:00,781.1000000,783.2000000,771.4000000,778.8000000,1430210
TATN,D,12/11/19,00:00:00,779.4000000,786.0000000,773.0000000,777.4000000,1685879
TATN,D,13/11/19,00:00:00,769.9000000,774.4000000,767.8000000,772.7000000,953543
TATN,D,14/11/19,00:00:00,777.0000000,777.5000000,762.2000000,773.9000000,1973593
TATN,D,15/11/19,00:00:00,773.0000000,778.6000000,758.7000000,764.0000000,1740196
TATN,D,18/11/19,00:00:00,766.9000000,768.9000000,752.1000000,753.8000000,1500927
TATN,D,19/11/19,00:00:00,756.0000000,760.7000000,751.7000000,760.0000000,1148917
TATN,D,20/11/19,00:00:00,758.0000000,763.0000000,747.0000000,760.0000000,1497166
TATN,D,21/11/19,00:00:00,758.8000000,761.0000000,748.2000000,759.0000000,1709643
TATN,D,22/11/19,00:00:00,757.9000000,764.0000000,755.7000000,761.2000000,1562407
TATN,D,25/11/19,00:00:00,763.8000000,763.8000000,754.2000000,760.0000000,1038918
TATN,D,26/11/19,00:00:00,758.0000000,760.8000000,742.4000000,747.1000000,5553617
TATN,D,27/11/19,00:00:00,748.0000000,753.9000000,743.5000000,749.0000000,1526793
TATN,D,28/11/19,00:00:00,747.8000000,751.9000000,745.1000000,747.8000000,393751
TATN,D,29/11/19,00:00:00,748.0000000,748.2000000,738.5000000,740.4000000,1427749
TATN,D,02/12/19,00:00:00,744.0000000,749.9000000,741.8000000,747.9000000,1893121
TATN,D,03/12/19,00:00:00,747.9000000,749.7000000,734.2000000,734.2000000,1757363
TATN,D,04/12/19,00:00:00,736.6000000,743.5000000,733.9000000,740.9000000,1065984
TATN,D,05/12/19,00:00:00,743.0000000,746.8000000,733.6000000,745.0000000,1169808
TATN,D,06/12/19,00:00:00,746.9000000,752.3000000,736.7000000,752.3000000,1646518
TATN,D,09/12/19,00:00:00,751.8000000,761.7000000,748.5000000,759.2000000,1901988
TATN,D,10/12/19,00:00:00,756.8000000,758.3000000,748.6000000,751.0000000,1483475
TATN,D,11/12/19,00:00:00,749.9000000,768.0000000,749.7000000,762.4000000,2131315
TATN,D,12/12/19,00:00:00,764.7000000,786.3000000,764.2000000,780.6000000,2743779
